sec	display	text
1434.559	23:54.56	this and they start opening the windows
1435.919	23:55.92	and all this and they were quite
1437.679	23:57.68	overwhelmed. Um actually I got a paper
1440.000	24:00.00	from somebody who was doing uh learning
1441.760	24:01.76	studies and they they proved they were
1443.679	24:03.68	actually doing some studies on group
1445.200	24:05.20	learning. They proved that it took five
1446.720	24:06.72	people to place ME Earth. One person
1448.640	24:08.64	just couldn't you know divide up the
1450.400	24:10.40	conceptual things and make the linkages.
1452.799	24:12.80	So this is our our last ditch attempt at
1455.039	24:15.04	trying to give some point source
1457.039	24:17.04	collapse all the data into one score.
1458.640	24:18.64	Give the user some sense of how they
1460.880	24:20.88	were doing. Um this little face actually
1463.440	24:23.44	kind of changes depending on how you're
1464.960	24:24.96	doing it. Right now it's kind of uh in
1466.559	24:26.56	an indeterminate state, but it'll be
1468.480	24:28.48	really happy sometimes if the bios uh
1471.360	24:31.36	biosphere is really thriving. Other
1473.200	24:33.20	times it'll look really mad. You know,
1474.320	24:34.32	we can come in and I can uh let's see.
1477.440	24:37.44	Turn off the sun or something. It
1479.600	24:39.60	doesn't like that.
1482.880	24:42.88	Yeah, turn the sun off here.
1486.159	24:46.16	Now we go to this display. Actually got
1487.600	24:47.60	the biome display. Oh, just as we
1489.840	24:49.84	evolved life, too.
1492.799	24:52.80	So here the planet will freeze up now
1494.480	24:54.48	really quick. Polar ice caps will crawl
1496.880	24:56.88	down. You can see the uh air temperature
1499.039	24:59.04	dropping precipitously on the graph down
1501.919	25:01.92	here. These are the kind of problems
1504.480	25:04.48	that we were trying to get the user to
1505.840	25:05.84	face in this uh program. Uh in some of
1509.279	25:09.28	like the evolution time scale frequently
1510.960	25:10.96	you would get a runaway greenhouse
1512.400	25:12.40	effect or
1514.960	25:14.96	uh the planet would overheat and the
1516.559	25:16.56	oceans would boil off which wasn't
1518.240	25:18.24	really good for your civilizations. Um,
1521.520	25:21.52	but on the postmortem for this one, you
1524.240	25:24.24	know, I think we had too much window
1525.520	25:25.52	clutter. Uh, we were trying to stretch
1528.240	25:28.24	the user in too many conceptual
1529.440	25:29.44	directions at once had we maybe uh cut
1533.600	25:33.60	down the simulation to just include
1535.520	25:35.52	climate or geosphere or a few other
1538.159	25:38.16	things. I think we probably could have
1539.440	25:39.44	gotten people to get deeper into it. But
1541.200	25:41.20	probably the biggest failure of this had
1543.840	25:43.84	to do with the failure mode itself. Um,
1547.600	25:47.60	really if you're dealing with conflicts
1549.679	25:49.68	and challenges in a game and problems to
1552.480	25:52.48	solve, the whole game, the whole thing
1554.960	25:54.96	is about failure. Really, you want the
1557.120	25:57.12	game, the user to be failing
1558.960	25:58.96	continuously in an entertaining way. The
1561.679	26:01.68	user has to confront problems, fail at
1564.159	26:04.16	them several times, but know why they
1565.840	26:05.84	failed. Uh, generally when you play a
1568.000	26:08.00	really good game, no matter what it is,
1569.200	26:09.20	even if it's Doom or something like
1571.039	26:11.04	that, you know, I went around this
1572.559	26:12.56	corner, I got blasted. I know why I got
1574.559	26:14.56	blasted. Next time I'm not going to go
1575.840	26:15.84	around that corner so fast. I'm going to
1577.200	26:17.20	sneak around the corner or go the other
1578.559	26:18.56	way. It's really important that when the
1580.159	26:20.16	user fails that they understand why they
1582.000	26:22.00	failed so that they will go back to play
1583.279	26:23.28	it again the next time and then fail
1585.520	26:25.52	further down the line. In this program,
1587.919	26:27.92	people were failing and they had no idea
1590.480	26:30.48	why. You know, they'd be sitting here
1591.840	26:31.84	playing the game and all a sudden the
1592.720	26:32.72	plant would freeze up. And as designers
1595.279	26:35.28	of the simulation, we had no idea why
1597.520	26:37.52	either. This simulation was just, you
1599.600	26:39.60	know, too complex and they had a lot of
1601.039	26:41.04	chaotic kind of attractors in the
1603.279	26:43.28	attraction space. And it was kind of
1604.960	26:44.96	like you're rolling this marble through
1606.159	26:46.16	this very flat space and every now and
1608.000	26:48.00	then it falls into one of these chaotic
1609.360	26:49.36	chaotic attractors and we can't really
1610.960	26:50.96	say why. So really that was almost a
1614.720	26:54.72	failure of the uh simulation design. The
1618.960	26:58.96	game design just couldn't uh convey that
1621.200	27:01.20	to the user. You know even with
1622.400	27:02.40	constraints um we had a few things that
1625.120	27:05.12	worked a little better. One of the
1626.320	27:06.32	things we stuck in here I'll just show
1627.600	27:07.60	you real quick is you can load Mars.
1631.200	27:11.20	And so on Mars all you're trying to do
1632.559	27:12.56	is terraform it. You have little things
1634.080	27:14.08	you can drop in the environment on the
1635.520	27:15.52	local level. Oops.
1638.559	27:18.56	I can drop down um CO2 generators or I
1642.240	27:22.24	can uh impact Mars with ice meteors.
1648.880	27:28.88	If I do enough for those, I'll start
1650.159	27:30.16	forming an ocean. Uh one of the other
1652.320	27:32.32	tools we gave the player was a monolith,
1653.919	27:33.92	which kind of increases the sentience of
1655.919	27:35.92	the little creatures on the planet.
1660.559	27:40.56	on the failure mode. Um, one thing I
1662.880	27:42.88	just want to mention real briefly is
1663.919	27:43.92	that, uh, I've seen two different
1665.679	27:45.68	failure modes between kids and adults,
1668.400	27:48.40	there seems to be a big difference. Um,
1670.559	27:50.56	adults, primarily, ones that, uh, kind
1672.480	27:52.48	of grew up before the computer
1673.919	27:53.92	generation really got into full swing.
1676.240	27:56.24	When they're put in front of a computer,
1677.600	27:57.60	they're afraid of failure. Generally,
1679.600	27:59.60	they're timid. They're
1682.080	28:02.08	they're very uh, they think twice before
1684.399	28:04.40	they click a button. They don't just try
1685.679	28:05.68	anything. Whereas kids, they fail all
1687.679	28:07.68	the time. You know, they kind of like
1689.440	28:09.44	failure. You know, failure doesn't
1691.120	28:11.12	bother them because they're always
1692.080	28:12.08	failing. When you see a kid build a
1694.159	28:14.16	tower of blocks, you know, they'll build
1695.200	28:15.20	it and they'll knock it down. Oh, it's
1696.399	28:16.40	fun. What's important for the kid is
1697.919	28:17.92	that the failure mode is fun and
1699.679	28:19.68	interesting. Okay. What kids don't like
1701.520	28:21.52	is a boring failure mode. Adults are
1703.440	28:23.44	uncomfortable with failure in general,
1704.880	28:24.88	which is what makes kids so cool. You
1706.559	28:26.56	know, they're just really fun to watch
1708.720	28:28.72	them. And that's I think one of the
1710.000	28:30.00	reasons they learn so fast. You know,
1711.120	28:31.12	they're not afraid to fail and that
1712.159	28:32.16	failure is really the basis of their
1713.440	28:33.44	learning. Um, so when we show games to
1718.000	28:38.00	this to kids, even something this
1720.240	28:40.24	complex, it's surprising. I've had
1721.600	28:41.60	eight, nine year olds playing this game
1723.279	28:43.28	that knew everything about it, every
1725.360	28:45.36	little control in there. They knew what
1726.640	28:46.64	it did and how it worked because they
1728.240	28:48.24	just went in there, you know, with both
1729.679	28:49.68	guns blazing, pushing everything and
1731.279	28:51.28	playing with it. And they had the uh
1733.520	28:53.52	their interest level stayed up enough
1734.799	28:54.80	and they didn't care that the planet
1736.000	28:56.00	kept freezing up or boiling over. You
1737.600	28:57.60	know, to them that was cool. To the
1739.279	28:59.28	adults, they do it. The planet freezes
1740.559	29:00.56	up and oh no, I can't play this. It's
1742.080	29:02.08	too complex. And so they run away
1743.840	29:03.84	screaming.
1745.440	29:05.44	I'm going to skip to the next one really
1747.120	29:07.12	quick, which is uh we decided that that
1749.520	29:09.52	was a little bit too much for the user
1750.880	29:10.88	to bite off. A little too complex, too
1752.320	29:12.32	many windows. So um we kind of swung the
1755.679	29:15.68	other extreme on this one. This is sim
1757.440	29:17.44	ant.
1759.200	29:19.20	Next one we decided we would instead
1760.880	29:20.88	scale back our expectations a little bit
1762.799	29:22.80	and just simulate an ant colony.
1768.080	29:28.08	Once again, turn off the annoying music.
1771.360	29:31.36	Now in this one again we have the
1774.240	29:34.24	interface kind of broken out into uh
1777.520	29:37.52	local and global areas. This is
1780.240	29:40.24	primarily the local window. This is my
1782.000	29:42.00	little ant. That little yellow ant
1783.279	29:43.28	there. If I click in the window that my
1785.039	29:45.04	little ant crawls around digs tunnels.
1789.039	29:49.04	This is uh where most of the global
1791.039	29:51.04	information is on this window. In this
1793.440	29:53.44	game it's a little different. Instead of
1794.799	29:54.80	having the tools on the side the tool
1798.000	29:58.00	the primary tool in this game is the
1799.440	29:59.44	ant. So most of what you do in this game
1801.600	30:01.60	is by navigating this little ant around.
1803.360	30:03.36	Now I just came out of the ground. Now
1805.120	30:05.12	you'll notice something here. The uh
1807.600	30:07.60	when you're outside the viewpoint is
1809.919	30:09.92	straight down two-dimensional. When
1812.399	30:12.40	you're in the nest, it's side view two
1814.080	30:14.08	dimensional. We actually had plans at
1815.520	30:15.52	the beginning of this for a very
1816.399	30:16.40	elaborate three-dimensional display of
1818.720	30:18.72	the nest and the way it really looks. We
1822.080	30:22.08	did a few prototypes and most people
1823.360	30:23.36	were just totally baffled. Just the 3D
1825.840	30:25.84	navigation to them just totally confused
1827.440	30:27.44	them. So we decided to fall back on the
1829.840	30:29.84	experience of the users. We really
1832.080	30:32.08	wanted the users to uh have direct
1833.760	30:33.76	experience and be able to map this into
1835.840	30:35.84	the real experience. So most users
1837.600	30:37.60	experience of seeing an ant nest is in
1839.440	30:39.44	an ant farm which is you know
1841.200	30:41.20	two-dimensional basically side view like
1842.720	30:42.72	this. Uh most people see ants on the
1845.440	30:45.44	ground straight down like this. This
1847.679	30:47.68	turned out to be no problem at all. Even
1849.200	30:49.20	though you're going through this what
1850.960	30:50.96	seemed at the time a major viewpoint
1853.039	30:53.04	shift just by going out of the hole.
1854.799	30:54.80	Most people didn't even notice the fact,
1856.399	30:56.40	didn't even mention it. Um,
1859.360	30:59.36	this ant can actually uh control other
1862.880	31:02.88	ants to some degree. I can recruit ants.
1865.200	31:05.20	I don't think I have too many. Let me
1866.320	31:06.32	speed up the game a little bit here. In
1867.919	31:07.92	this game, what you do is you crawl
1870.240	31:10.24	around, look for food, feed your colony,
1872.960	31:12.96	uh, establish food trails. Here's some
1874.399	31:14.40	food over here. I can go pick up a
1876.159	31:16.16	piece. Um,
1879.200	31:19.20	bring it back to my queen. the uh in
1882.399	31:22.40	some earth on the local window we had
1884.240	31:24.24	scroll bars as this window has. But we
1887.679	31:27.68	wanted to have the ant self-c centering.
1891.200	31:31.20	Oh, we're starting to get a rainstorm
1892.480	31:32.48	here.
1895.200	31:35.20	That's what that blue stuff is. I have
1897.279	31:37.28	it on pause.
1901.519	31:41.52	So, here's how the user basically plays
1903.200	31:43.20	this game as they go get food, establish
1905.279	31:45.28	food trails, start fighting there. At
1907.600	31:47.60	the other end of this piece of ground is
1910.720	31:50.72	a red colony of ants. And so what you're
1912.480	31:52.48	doing in this game is you're actually
1914.159	31:54.16	battling the red ants for dominance.
1915.679	31:55.68	Once you destroy the red ants, you win
1917.919	31:57.92	this patch. Um so this is the local here
1920.880	32:00.88	in this window. This is the global in
1922.480	32:02.48	this window. We have in this game
1925.679	32:05.68	actually kind of a meta game. So this
1928.159	32:08.16	little area of ground here
1931.760	32:11.76	represents about uh four square feet of
1934.480	32:14.48	ground.
1936.399	32:16.40	This actually is the whole game field.
1940.320	32:20.32	So, this little blinking square on the
1941.840	32:21.84	side here is the current patch of ground
1943.679	32:23.68	we're in.
1945.440	32:25.44	The uh object of the game here is to
1947.200	32:27.20	actually start breeding new colonies and
1949.120	32:29.12	starting take over the yard. And so, you
1950.640	32:30.64	actually start spreading out as the red
1952.640	32:32.64	ants are spreading out. At this point,
1953.840	32:33.84	it becomes kind of a territorial game
1955.200	32:35.20	like go. Uh, and the real reward in this
1958.480	32:38.48	game is if you can get into the uh house
1960.240	32:40.24	here. And so, you're trying to get the
1963.120	32:43.12	ants to invade the house. and the the
1964.640	32:44.64	highest food content areas like around
1966.159	32:46.16	the fridge and sink and whatever. So,
1969.120	32:49.12	this is kind of the strategic game
1970.640	32:50.64	you're playing. Uh the tactical game is
1973.279	32:53.28	down at the local level. Let me pop back
1976.159	32:56.16	to the local level here. Um
1979.840	32:59.84	in this game, we tried to keep the
1981.279	33:01.28	failure modes after the Sim Earth
1982.960	33:02.96	experience very direct and obvious. So,
1985.679	33:05.68	if I'm crawling around and die, usually
1988.240	33:08.24	I know why. So, in this case, I walk by
1990.159	33:10.16	a spider and get slurped up. Um, now in
1994.640	33:14.64	in today's multime media environment,
1996.080	33:16.08	that would have been a 10-minute video
1997.360	33:17.36	sequence, you know, with a but uh again,
2000.559	33:20.56	this is way back. They shipped on like
2001.840	33:21.84	one disc kind of a thing. Um,
2004.799	33:24.80	so but we didn't want the emphasis in
2006.640	33:26.64	the game design to be on not dying
2009.200	33:29.20	because we really wanted to get the the
2011.120	33:31.12	idea across that it doesn't really
2012.480	33:32.48	matter if an ant dies. It's the colony
2014.880	33:34.88	that matters. The ants are more like the
2016.720	33:36.72	cells. The colony is more like the
2018.559	33:38.56	organism. So, in the game design, we
2020.799	33:40.80	were trying to support that idea by
2022.159	33:42.16	basically making death free. When you
2023.519	33:43.52	die, you just come back as another ant.
2024.960	33:44.96	Your ant colonies lost one ant. That's
2026.559	33:46.56	not a big issue. Um, on the map here, we
2030.320	33:50.32	found that we were going back and forth
2031.519	33:51.52	to this map a lot just to get an
2032.799	33:52.80	overview of where we were. Uh, which
2034.960	33:54.96	seemed kind of a waste. Generally, we
2036.960	33:56.96	wanted to play this with full screen
2038.320	33:58.32	mode like this. So, we put the map in
2040.080	34:00.08	here as a little popup.
2042.320	34:02.32	So, as you're playing the game, if you
2043.600	34:03.60	just want to get a bearings on where you
2044.720	34:04.72	are, if I want to move the screen
2045.840	34:05.84	around, uh that's what that little map
2048.159	34:08.16	is for. That evolved into the next uh
2051.839	34:11.84	game we did, which I'll show you in a
2052.960	34:12.96	little bit. One of the real issues we
2054.399	34:14.40	had in the interface design on this one
2055.679	34:15.68	was that we wanted to give the player
2057.679	34:17.68	some global control over the colony
2059.280	34:19.28	behavior. One of the things we wanted
2061.119	34:21.12	them to control was how many ants were
2062.560	34:22.56	foraging versus nest building versus uh
2066.079	34:26.08	other things. Another thing we wanted
2067.760	34:27.76	them to control was how many workers
2069.119	34:29.12	were being uh born versus uh soldiers
2073.119	34:33.12	and breeders. We had this elaborate
2075.359	34:35.36	thing at first where we had like four
2076.800	34:36.80	bar graphs and each one represented the
2079.119	34:39.12	percentage of let's say workers. One was
2081.280	34:41.28	workers, one was soldiers, one was
2082.720	34:42.72	breeders. You'd grab one bar, pull it
2084.879	34:44.88	up, the other two would go down. Uh or
2086.960	34:46.96	you'd pull one down, the other two would
2088.320	34:48.32	go up. It was very confusing to users.
2090.399	34:50.40	We tried it another way with a pyraph
2091.919	34:51.92	where you were pulling things and again
2093.280	34:53.28	it was very confusing to users. What we
2095.760	34:55.76	finally came up with was this triangular
2098.880	34:58.88	control, which actually worked pretty
2100.160	35:00.16	well. In this, you just move this thing
2102.640	35:02.64	around and it's establishing a three-way
2104.320	35:04.32	percentage. Um, in this case, it's
2106.320	35:06.32	between the amount of different type
2108.000	35:08.00	casts of ant that are bred in your nest.
2110.400	35:10.40	If I want all breeders, I bring it to
2111.920	35:11.92	this verticy. If I want all workers, I
2114.480	35:14.48	bring it down here. So, I can establish
2115.760	35:15.76	a three-way relationship actually pretty
2117.599	35:17.60	quickly. And this is just through
2119.119	35:19.12	testing. You know, we went through uh I
2120.720	35:20.72	don't know how many prototypes to
2121.760	35:21.76	discover this. Um, and then we have, of
2124.880	35:24.88	course, you can do presets. So, we have
2126.960	35:26.96	three presets. I might have one set for
2128.640	35:28.64	fighting, one for making my nest bigger,
2131.280	35:31.28	and that way I can go through those very
2132.560	35:32.56	quickly. The uh, now the help system on
2135.359	35:35.36	Sim Earth was the shift click. On this
2137.920	35:37.92	one, we decided to make it a little more
2139.200	35:39.20	basic. We just put little uh, question
2140.880	35:40.88	marks in each window. If you hold down
2143.200	35:43.20	the question mark, it basically shows
2145.760	35:45.76	you all the icons. This is not unlike
2147.680	35:47.68	kind of the current paradigm of the
2148.960	35:48.96	pop-up contextsensitive help. We did
2151.440	35:51.44	that in every window in the product. So
2152.960	35:52.96	in this window we have the same thing
2156.160	35:56.16	and in the map window we have the same
2157.839	35:57.84	thing too.
2160.079	36:00.08	The uh there are a couple things we did
2162.880	36:02.88	experimentally in this game which I oh
2165.200	36:05.20	just very briefly these are the global
2166.880	36:06.88	displays. These are pheromone displays
2169.040	36:09.04	you see from the ants. One of the main
2170.720	36:10.72	things we were trying to communicate in
2171.839	36:11.84	this product was why ants are so cool. I
2174.720	36:14.72	mean ants are really really cool. You
2176.720	36:16.72	have these little things that just
2178.000	36:18.00	operate on these local rules and have no
2179.680	36:19.68	idea what's going on, but yet when you
2181.920	36:21.92	add them up, you get this surprisingly
2183.760	36:23.76	intelligent colony. And this is really
2185.920	36:25.92	what we were trying to communicate to
2187.040	36:27.04	the user in this game. And that's why it
2189.680	36:29.68	was important that they saw the
2190.720	36:30.72	pherommones they were dropping because
2191.760	36:31.76	we were actually trying to build the
2193.680	36:33.68	behavior. We were actually building the
2195.119	36:35.12	simulation fairly close to real rules of
2197.680	36:37.68	ants. Um, as an example, there's a thing
2200.640	36:40.64	that uh somebody did, I forgot his name,
2203.520	36:43.52	he did in a simulation. And it was
2204.720	36:44.72	interesting because it was one of the
2205.520	36:45.52	few cases where the real behavior of an
2208.160	36:48.16	organism was discovered through
2209.520	36:49.52	simulation. And people always wondered
2211.520	36:51.52	how ants were able to effectively sort
2213.440	36:53.44	larvae at different stages. In other
2215.599	36:55.60	words, they'll have one little room with
2217.200	36:57.20	the uh little eggs that were just laid,
2218.880	36:58.88	another room with the medium-sized
2220.079	37:00.08	larvae, another room with almost fully
2222.720	37:02.72	grown ones. These larvae at each stage
2225.200	37:05.20	put out a particular odor. These ants
2227.680	37:07.68	apparently, and he found this through
2229.119	37:09.12	stimulation, have this very local rule,
2231.280	37:11.28	which is to say if I'm walking around
2233.359	37:13.36	with nothing in my mandibles and I come
2235.520	37:15.52	across a larvae and I haven't smelled
2238.720	37:18.72	its smell in my vicinity, I'll tend to
2241.040	37:21.04	pick it up. On the other hand, if I'm
2243.200	37:23.20	carrying a larvae and its smell matches
2246.880	37:26.88	the area, the smell in the local area,
2249.280	37:29.28	I'll put it down. Now in simulation you
2252.320	37:32.32	can just scatter these larvae all over
2253.599	37:33.60	the screen. Turn this rule on and the
2256.000	37:36.00	ants will eventually you know pick up
2257.440	37:37.44	the larvae that are sitting by
2258.560	37:38.56	themselves walk around with them
2259.839	37:39.84	randomly until they get to an area with
2261.599	37:41.60	similar larvae and drop them and thereby
2264.000	37:44.00	sort them very efficiently. So this is
2266.640	37:46.64	the kind of thing we were trying to
2267.680	37:47.68	build the simulation out of. Now we
2270.240	37:50.24	didn't want to start the user at this
2272.640	37:52.64	level with you know the mechanisms
2274.000	37:54.00	through which this emergent behavior
2275.839	37:55.84	occurs in an ant colony. We wanted to
2277.680	37:57.68	get them into the game first very
2278.880	37:58.88	quickly. You know here's how you play
2279.920	37:59.92	the game. Here's how you walk around,
2281.119	38:01.12	get food. Here's how you uh defeat the
2283.280	38:03.28	red ants. So, what we were hoping and
2286.880	38:06.88	was somewhat successful is that we
2288.960	38:08.96	embedded in this in the uh we put in
2291.760	38:11.76	this little infos.
2294.079	38:14.08	And this is kind of like a little
2295.440	38:15.44	hypercard oops
2298.560	38:18.56	database about ants and ant behavior. Uh
2301.359	38:21.36	so, for instance, these are just little
2302.560	38:22.56	hot buttons. I can click on them. They
2304.079	38:24.08	have pop-up definitions. Uh, and I can
2307.440	38:27.44	kind of explore this at my leisure and
2310.640	38:30.64	find out more about ants. A lot of the
2312.880	38:32.88	information contained in here relates
2314.400	38:34.40	directly to the game and the game play.
2316.640	38:36.64	Um, we have sections in here that
2318.720	38:38.72	actually go into that. So, I can back
2320.800	38:40.80	up. I can go to the Oops, I've been
2324.480	38:44.48	eaten.
2326.800	38:46.80	You die a lot in this game, but it's
2328.400	38:48.40	okay.
2330.320	38:50.32	So, uh, this is actually a small
2332.160	38:52.16	flowchart of the simulation in the game.
2335.359	38:55.36	Oops. It gets stepped onto.
2339.760	38:59.76	So, this is a very simple flowchart,
2341.680	39:01.68	much simpler than the real simulation,
2342.880	39:02.88	but we were trying to give the user the
2344.960	39:04.96	information and have the user pull the
2346.400	39:06.40	information out of the system rather
2348.160	39:08.16	than in most educational products, it's
2350.160	39:10.16	kind of, you know, present the user
2351.359	39:11.36	with, you know, gobs of information.
2352.640	39:12.64	Here, remember this, this is cool. You
2354.320	39:14.32	know, don't doesn't matter why, just
2356.079	39:16.08	trust us. It's cool. We wanted the users
2357.920	39:17.92	to more play this for a while and start
2359.359	39:19.36	wondering about it and say, hey, that's
2360.880	39:20.88	kind of cool. I wish I knew more about
2361.839	39:21.84	this. And then pull the information out
2362.880	39:22.88	of the system. So this was you know I
2365.280	39:25.28	would say reasonably uh successful in
2367.440	39:27.44	the game. Another kind of experimental
2369.359	39:29.36	thing we did in this
2372.079	39:32.08	was u this blank icon here which we
2376.320	39:36.32	called the mystery button. Uh what this
2379.520	39:39.52	does this does something totally random
2380.720	39:40.72	and unexpected every time you click on
2382.160	39:42.16	it. Uh sometimes it'll tell you a joke.
2385.520	39:45.52	Uh
2387.680	39:47.68	sometimes it'll play the entire sound
2389.119	39:49.12	list. Sometimes it'll, you know, wipe
2391.440	39:51.44	out the entire red ant colony. Sometimes
2393.200	39:53.20	it will give you uh 500 more ants in the
2395.359	39:55.36	black ant colony or it'll fill the world
2396.800	39:56.80	with food. We have about 50 random
2398.960	39:58.96	things it does. Um we found this
2400.880	40:00.88	particularly appealed to kids. Kids
2402.560	40:02.56	really like this idea of, you know,
2403.839	40:03.84	they've played with something, played
2404.800	40:04.80	with something, they've gone through a
2405.599	40:05.60	goal- directed state and all a sudden
2406.960	40:06.96	they want to get crazy. This is kind of
2408.320	40:08.32	the let's get crazy button. You know,
2409.760	40:09.76	let's do something totally
2410.560	40:10.56	unpredictable. Um but again, as in most
2413.920	40:13.92	cases, the adults didn't quite uh relate
2416.400	40:16.40	to it too well.
2418.960	40:18.96	Now, on this product, I would say
2423.119	40:23.12	I was we were actually our failure here
2425.119	40:25.12	was more in the marketing side. We were
2426.560	40:26.56	actually marketing this to a similar
2427.760	40:27.76	audience that Sim City and Sim Earth
2429.040	40:29.04	were market was marketed at. But what
2431.520	40:31.52	this game really appealed to were the uh
2433.200	40:33.20	10-year-olds. I mean, 10-year-old girls
2435.119	40:35.12	and boys loved this game. Uh
2437.440	40:37.44	20-year-olds and up thought it was too
2439.119	40:39.12	simplistic. The model was too explicit.
2442.160	40:42.16	Um especially when they failed, they
2444.000	40:44.00	knew not only why they failed, but it
2445.599	40:45.60	was too obvious how to solve it next
2447.839	40:47.84	time. So, they generally only failed
2449.599	40:49.60	once or twice. The game was too easy for
2451.280	40:51.28	them. Um, the kids didn't mind that it
2453.520	40:53.52	was too easy cuz the kids tended to
2454.960	40:54.96	approach this more experimentally. Uh,
2457.760	40:57.76	one of the features we put in the game
2459.760	40:59.76	that again the kids seem to appreciate
2461.440	41:01.44	more than the adults was experimental
2463.040	41:03.04	mode. Now, in this mode here, I can
2466.480	41:06.48	actually put down little things to play
2467.839	41:07.84	with the ants. I can drop down little
2470.240	41:10.24	walls. So, I can, you know, make mazes
2472.560	41:12.56	for my ants and see if they can figure
2473.760	41:13.76	their way out of them with their
2474.720	41:14.72	pherommones. Um, I can add food.
2479.680	41:19.68	I can feed some ants over here, kill
2481.440	41:21.44	ones over there. I can, you know, put an
2482.560	41:22.56	ant in the thing, feed him, and see if
2483.760	41:23.76	he can find his way out with trails of
2485.040	41:25.04	food to follow. Um, I can get
2487.520	41:27.52	destructive. I can go spraying them with
2488.880	41:28.88	insecticide.
2492.319	41:32.32	Spider's pretty resistant. Red answer.
2496.800	41:36.80	There we go.
2500.160	41:40.16	The kids have played with this for a
2501.599	41:41.60	long time. It was kind of amazing to me.
2503.760	41:43.76	Um,
2506.319	41:46.32	one of the other failure modes of this,
2507.920	41:47.92	I think, was in the, uh, lack of
2510.400	41:50.40	creative input. I mean, you had this
2512.319	41:52.32	local control as an ant. You were
2513.520	41:53.52	actually building up the colony, but
2515.280	41:55.28	there wasn't a whole lot of creativity
2517.200	41:57.20	really. Um, the ants would kind of build
2518.960	41:58.96	their colony, you know, and you'd end up
2520.480	42:00.48	with this kind of mish mash of a nest,
2521.920	42:01.92	and the nest never looked like a
2523.359	42:03.36	designer nest or anything. Uh, and it
2526.560	42:06.56	was, as a game, you know, it was fine,
2528.720	42:08.72	but, uh, it was a little different than
2530.240	42:10.24	most of the products we did. I'm going
2531.280	42:11.28	to go to another one now.
2533.920	42:13.92	which is um our latest version of Sim
2537.599	42:17.60	City or the one that was released a few
2539.599	42:19.60	years ago.
2541.280	42:21.28	Two six colors here.
2553.200	42:33.20	Now, in Sim City, you're running a city
2554.720	42:34.72	obviously um rather than ant colony
2559.040	42:39.04	or a planet. Start a new city.
2570.800	42:50.80	Now, in this one, we did a few things
2573.359	42:53.36	different. Um,
2575.599	42:55.60	rather than having the two windows, the
2577.359	42:57.36	local global windows as in the other two
2579.119	42:59.12	games, we decided to try and collapse
2580.480	43:00.48	everything into one
2582.800	43:02.80	into one window. And basically to do
2585.359	43:05.36	that, we added zoom. So, this basically
2588.000	43:08.00	for the most part is your map view of
2590.240	43:10.24	this game. Um, I can zoom in and this is
2593.680	43:13.68	pretty much the local view, but it
2594.880	43:14.88	occurs in the same window. The, uh, let
2597.760	43:17.76	me load a city.
2605.599	43:25.60	There we go. Because of the uh,
2608.319	43:28.32	isometric perspective we had here, we
2610.640	43:30.64	had to add rotate buttons, which wasn't
2614.160	43:34.16	too much of a problem for most people.
2616.400	43:36.40	Um, got to be a little bit of a problem
2617.680	43:37.68	on mapping some of the other data. The
2620.160	43:40.16	uh
2622.720	43:42.72	the centering tool
2625.680	43:45.68	actually allows you to browse around the
2627.280	43:47.28	city. I've always had a problem with
2628.400	43:48.40	scroll bars. Um in Sim Earth, I first
2630.240	43:50.24	noticed it, which is why we had the
2632.160	43:52.16	little map thing as you drag it around
2633.760	43:53.76	controls the uh local window. In Sim
2636.000	43:56.00	Ant, we tried to address that with the
2637.280	43:57.28	local ant that became the center point
2639.200	43:59.20	of the window. In this one, we made a
2641.599	44:01.60	special tool, the centering tool, which
2643.760	44:03.76	just allows you to browse around from
2645.599	44:05.60	any other tool. Also, I can hold down
2647.920	44:07.92	the uh
2650.240	44:10.24	oops, that's not the right key to hold
2651.599	44:11.60	down the option key and go straight to
2654.800	44:14.80	the centering tool. The uh now this like
2658.240	44:18.24	Sim Earth was a pretty information dense
2661.200	44:21.20	display. Uh at this point, we had kind
2663.359	44:23.36	of changed our minds and gone to
2665.119	44:25.12	floating pallets rather than uh an
2668.079	44:28.08	integrated window. So, you'll notice
2669.920	44:29.92	this is the toolbar and it's a separate
2671.440	44:31.44	pallet. It never goes behind. We have a
2673.520	44:33.52	lot of other windows that occur in this
2675.520	44:35.52	that can be opened, but they're all done
2677.440	44:37.44	as floating pallets because we basically
2679.200	44:39.20	wanted the user to just bring them up
2680.800	44:40.80	when they needed them and close them
2683.599	44:43.60	when they didn't. And that seemed to
2685.280	44:45.28	work pretty well. Actually, I was kind
2686.880	44:46.88	of surprised. The uh another thing we
2690.480	44:50.48	did different was that we tried to
2691.839	44:51.84	collapse as much information as possible
2694.400	44:54.40	into this main window. Rather than
2696.000	44:56.00	having all these hundreds of different
2697.200	44:57.20	display modes, we basically tried to
2699.280	44:59.28	make everything graphic, but in a way to
2702.000	45:02.00	where it kind of made sense. It matched
2703.359	45:03.36	reality. There was a, you know, obvious
2704.640	45:04.64	mapping here. So, just by looking at
2706.400	45:06.40	this map,
2708.720	45:08.72	pause you for a second. Just looking at
2710.880	45:10.88	this map here, the uh user can get a
2714.240	45:14.24	sense of a lot of the data that's
2716.400	45:16.40	actually going on. I can see the density
2717.839	45:17.84	of development, the population density.
2719.359	45:19.36	I can look at the current zoning at each
