start_sec	end_sec	text
1629.660	1633.540	that's the power of generative systems
1631.890	1636.540	like that is the Clary it because
1633.540	1638.370	because I have a new computer which was
1636.540	1640.710	supposed to have all the contents of my
1638.370	1642.150	old computer it was only when I arrived
1640.710	1646.470	here that I discovered it had none of
1642.150	1648.750	the contents of my its Willow had
1646.470	1652.770	viewers it just had the names of all the
1648.750	1656.970	contents of my own that's a very
1652.770	1659.730	powerful feature so rather than just
1656.970	1662.580	recite the names to you I made several
1659.730	1663.840	new pieces of music and programming
1662.580	1665.940	terms that's called dangling pointers
1663.840	1667.860	who don't know this this piece was meant
1665.940	1669.540	to go with oh yeah yeah we're now we're
1667.860	1671.790	getting on to the exciting so these are
1669.540	1673.320	a cellular automata which probably a lot
1671.790	1674.670	of you are familiar with and the idea
1673.320	1677.280	behind these is that there are very
1674.670	1680.040	simple rule systems and we run the rule
1677.280	1682.080	and it actually analyzes every cell in
1680.040	1684.240	here each one of these cells looks at
1682.080	1687.090	its neighbors analyzes what's around it
1684.240	1688.860	to determine its new state and so it's
1687.090	1690.090	the same rule apply to every cell but
1688.860	1692.130	because the number of neighbors is
1690.090	1693.590	different you get different patterns
1692.130	1695.970	emerging so I'm stepping through this
1693.590	1698.100	very slowly okay we just we should
1695.970	1699.720	perhaps give the audience some idea of
1698.100	1703.590	what these rules are like they say
1699.720	1706.500	things like if three if three of your
1703.590	1708.300	neighbors are alive you're going to die
1706.500	1710.490	or you're going to survive in the next
1708.300	1712.710	generation if you've got only one
1710.490	1715.230	neighbor alive you'll die if you have
1712.710	1717.000	two neighbors alive you yeah persist
1715.230	1720.390	whatever and that's the exact rule said
1717.000	1722.070	those kinds of things is probably the
1720.390	1724.740	most well-known example of a sailor
1722.070	1726.510	automatons and this is Conway's life and
1724.740	1727.980	that's his rule set basically you've got
1726.510	1729.810	three or four neighbors you survive you
1727.980	1730.890	have exactly four neighbors and this is
1729.810	1732.720	going into every little cell and
1730.890	1734.010	Counting how many neighbors you have to
1732.720	1736.060	determining whether a new cell is
1734.010	1737.620	created or destroyed and
1736.060	1739.750	[Music]
1737.620	1741.670	please one more I shouldn't have but now
1739.750	1744.210	as we've run these I'm gonna run it fast
1741.670	1747.340	now you start seeing these amazing
1744.210	1749.260	patterns develop and this is entirely
1747.340	1751.900	deterministic so from this versa there's
1749.260	1754.000	only those three rules and what's very
1751.900	1756.220	very interesting is if you make a tiny
1754.000	1758.250	difference at the beginning it can
1756.220	1761.680	translate into a huge difference in the
1758.250	1764.200	lifecycle of the thing so you know if
1761.680	1767.410	you start with a grid of nine nine
1764.200	1769.840	squares with one added to it it'll last
1767.410	1773.740	for 53 generations if you add one more
1769.840	1776.230	Square to last for 15,800 generations
1773.740	1778.780	and this pattern I'm showing here every
1776.230	1780.850	time I run and load it it will generate
1778.780	1782.500	the exact same result and so all of the
1780.850	1784.990	complexity you're seeing as it runs here
1782.500	1787.330	is embedded in a couple of simple rules
1784.990	1788.920	and these are very interesting systems
1787.330	1791.110	because there are so many different
1788.920	1793.150	things that you can kind of generate
1791.110	1795.430	with them different patterns symmetry
1793.150	1796.840	some of them are very beautiful and this
1795.430	1798.070	is actually we're playing with this a
1796.840	1799.690	little bit earlier today and we were
1798.070	1801.580	noticing that certain pieces that Brian
1799.690	1803.590	was composing went very well with
1801.580	1805.090	certain rule sets this was somewhat
1803.590	1807.490	unpredictable as to which ones went well
1805.090	1808.960	together but it's actually too
1807.490	1810.670	generative systems basically kind of
1808.960	1814.930	playing off each other having never even
1810.670	1816.130	that I'm reluctant to play this tool and
1814.930	1819.960	though because I think it's a bit
1816.130	1822.190	disturbing to have that's that's lovely
1819.960	1824.800	now I'm actually pulling back on this
1822.190	1826.870	pattern this is way zoomed out and as we
1824.800	1828.220	zoom in closer and closer you've seen
1826.870	1830.560	different patterns of different scales
1828.220	1833.230	here so what you have to think about is
1830.560	1836.320	suppose you had to make this as a film
1833.230	1838.390	what we're seeing here it would be very
1836.320	1842.980	complicated that's a lot of information
1838.390	1845.800	if you had to specify it as as a visual
1842.980	1847.420	phenomenon like that but what actually
1845.800	1850.030	has happened is that there's this tiny
1847.420	1852.730	little set of rules and this landscape
1850.030	1856.080	for them to work in and the set of rules
1852.730	1860.320	is well it's typically like a 2k
1856.080	1862.570	document or something like that and you
1860.320	1864.820	get all that richness so so this is the
1862.570	1865.620	really the power of generative systems
1864.820	1869.280	that
1865.620	1870.600	you make seeds rather than forests and
1869.280	1872.100	these are very much the type of thing
1870.600	1874.410	where you have no idea what its gonna
1872.100	1876.330	look like we need to build the rules you
1874.410	1878.910	turn it on and it's always just a total
1876.330	1881.610	surprise these were actually developed
1878.910	1883.980	when I couldn't take the four news by
1881.610	1885.750	one moment before you really even had
1883.980	1888.060	fast digital computers to run them on
1885.750	1891.360	and another interesting thing about
1888.060	1893.250	these is how fragile they are so because
1891.360	1895.020	this one for instance if we go back to
1893.250	1897.240	the starting position you can see it's
1895.020	1900.660	just two simple cells as we start
1897.240	1903.600	running the pattern it starts expanding
1900.660	1905.610	but it's totally symmetrical bilaterally
1903.600	1906.990	symmetrical girl and as we run it it
1905.610	1909.570	maintains that symmetry to its entire
1906.990	1912.090	life but if I pause it just for an
1909.570	1915.390	instant and add one cell somewhere where
1912.090	1917.790	shouldn't be and then run it it will end
1915.390	1919.110	up breaking the symmetry so now we've
1917.790	1921.570	broken the symmetry just by putting one
1919.110	1923.280	cell in the wrong spots so these things
1921.570	1927.390	are very complex but also very fragile
1923.280	1930.570	in some sense they're very dependent on
1927.390	1933.150	their initial conditions as well so so
1930.570	1934.890	what they start out with totally
1933.150	1938.760	determines their life it's actually a
1934.890	1942.210	very very sort of sad view of human
1938.760	1947.240	possibilities really sure how fragile it
1942.210	1950.090	all is and how nothing can change much
1947.240	1952.710	well you see that biology a lot actually
1950.090	1955.200	the genetic structure is such that you
1952.710	1957.270	know only the viable organisms will
1955.200	1959.220	survive and so every one of your
1957.270	1962.160	ancestors had to you know survive to
1959.220	1963.690	reproduce and a lot of times they're all
1962.160	1965.670	regions of evolution that are cut off to
1963.690	1969.570	us because we have to jump across this
1965.670	1971.670	chasm yeah one fitness yes I sometimes
1969.570	1973.470	wonder about my ancestors on that score
1971.670	1976.149	this
1973.470	1977.350	this is another example of things that
1976.149	1980.049	we can do with these systems we can I
1977.350	1981.850	just put a little see this is a this is
1980.049	1983.830	a little machine you see yeah very
1981.850	1985.409	little machine and I can like put one
1983.830	1987.669	little cell in the wrong spot here and
1985.409	1991.929	very quickly the whole thing just kind
1987.669	1996.700	of goes to crap that was you know one
1991.929	1998.049	cell and and now the full cycle is
1996.700	2003.570	broken these guys are going off forever
1998.049	2005.070	or that direction we can actually use
2003.570	2006.840	these things for doing simulation in
2005.070	2009.299	fact a lot of our games are built upon
2006.840	2011.520	cellular automata at a very simple level
2009.299	2013.740	to simulate you know what seem to be
2011.520	2015.450	very complex things SimCity which is one
2013.740	2017.909	of the games worked on many years ago in
2015.450	2020.340	fact is under laid by just I said a very
2017.909	2021.419	simple cellular automata like this you
2020.340	2023.039	know they have very simple rules for
2021.419	2025.409	things like crime and traffic and
2023.039	2027.120	pollution and on top of that we lay all
2025.409	2028.500	these nice graphics of cars and
2027.120	2030.720	factories and all that but really
2028.500	2032.549	underneath it's a very simple grid based
2030.720	2034.320	system like this it allows us to
2032.549	2035.820	simulate things and it took a while to
2034.320	2037.950	discover the rules but once we actually
2035.820	2039.720	put together a few simple rules we got
2037.950	2041.399	two systems where we were seeing
2039.720	2044.820	emergent phenomena we were seeing things
2041.399	2046.200	like urban gentrification you know just
2044.820	2049.530	do the simple interactions of the crime
2046.200	2051.359	land value rules and stuff like that it
2049.530	2053.300	seemed like it was a much more complex
2051.359	2055.349	simulation than in fact it really was
2053.300	2058.200	let's go to another little example here
2055.349	2060.929	this one is a little more visual in some
2058.200	2062.700	sense this is a simple program that
2060.929	2065.879	actually has some very simple rules for
2062.700	2067.500	figure drawing and poseability the
2065.879	2071.280	figures and what it does it generates
2067.500	2072.720	paintings basically on the fly it kind
2071.280	2075.060	of knows how to draw a few things like
2072.720	2077.490	plants and I know what this this is by M
2075.060	2082.020	was it bernhard cohen who wrote this
2077.490	2086.190	what's the name of Harold a Willie let's
2082.020	2088.849	find out and I will register this I
2086.190	2088.849	promise
2090.350	2099.170	oh let's find out
2094.220	2100.850	that was Chris wall yeah it's from Chris
2099.170	2102.530	wall but every time you run this
2100.850	2107.180	basically it generates a new painting
2102.530	2108.830	and it's interesting just because the
2107.180	2110.540	computer is obviously doing you know
2108.830	2112.160	fairly random redistribution of the
2110.540	2114.170	poses and the figures and the colors and
2112.160	2115.310	whatever but they're still evocative
2114.170	2116.510	it's interesting I can look at each one
2115.310	2118.430	of these things and there's a certain
2116.510	2120.530	mood it's kind of you vote for me and
2118.430	2121.730	looking at them that I'm sure the
2120.530	2124.760	computer wasn't thinking about that at
2121.730	2126.320	all but this this is one of the other
2124.760	2127.970	interesting things about generative
2126.320	2131.000	systems they depend a lot on the
2127.970	2134.000	observer as well so one of the things a
2131.000	2136.130	lot of my work counts on is the idea
2134.000	2138.050	that if you put something onto a CD
2136.130	2145.850	people will tend to think it's probably
2138.050	2148.640	music the cost of the CDR but it's funny
2145.850	2150.260	it's like if you if you put something in
2148.640	2151.700	a frame and hang it in an in an art
2150.260	2154.460	gallery people will think it's a
2151.700	2156.650	painting and and they'll reserve the
2154.460	2159.260	special kind of attention for that which
2156.650	2165.010	they don't give to computer screens or
2159.260	2167.240	to their shoes or whatever so so I think
2165.010	2169.430	something I'm very aware of is that
2167.240	2171.650	people tend to connect things together
2169.430	2174.260	in their brains I mean I a lot of my
2171.650	2176.150	work involves using light and sound
2174.260	2177.890	together and I never synchronize them
2176.150	2180.460	but people always think that they're
2177.890	2183.350	synchronized in ways do you use light
2180.460	2185.030	like light shows or that's a big long
2183.350	2189.770	story I don't think we should go there
2185.030	2191.840	actually oh no I have to well if we get
2189.770	2194.510	time later but that that takes a long
2191.840	2197.690	time ok I I don't want to I want to get
2194.510	2199.730	to spore basic ok well we can do that
2197.690	2204.710	right now on and then we can eat your
2199.730	2210.110	long story that looks like Julie
2204.710	2212.660	Christie maybe this okay let's switch
2210.110	2215.870	screens over to this computer in audio
2212.660	2217.490	if we can so
2215.870	2219.320	I'm gonna show you a game that I'm
2217.490	2222.200	working on right now that relies very
2219.320	2223.130	heavily on generative systems and it's
2222.200	2225.470	called Spore
2223.130	2228.110	the rough idea was inspired by the
2225.470	2230.120	powers of 10 which is a book and movie
2228.110	2232.130	done by Charles Mary Ames actually done
2230.120	2233.180	earlier by a Dutch school teacher named
2232.130	2236.660	case Boca
2233.180	2237.980	called cosmic view but I'm sure you've
2236.660	2239.510	seen this either the film of the movie
2237.980	2241.310	where you have a guy laying in a park
2239.510	2243.320	and it zooms down to the Sailor level
2241.310	2245.300	atomic level all the way down to the
2243.320	2247.400	quarks and then it pulls all the way
2245.300	2249.470	back up to you know the planet the Sun
2247.400	2251.210	the galaxy and I always thought it was a
2249.470	2252.560	very unique perspective and it was kind
2251.210	2253.430	of missing the dynamics I always wanted
2252.560	2255.140	to see the dynamics when different
2253.430	2256.490	scales so that was part of this brush
2255.140	2257.630	behind Spore another part of it was
2256.490	2259.250	allowing the players to be able to
2257.630	2261.110	create most of the game so almost every
2259.250	2262.670	piece of content in the game is created
2261.110	2265.010	by the players I'm just gonna show you a
2262.670	2266.870	few bits and pieces of it here the game
2265.010	2269.390	actually occurs across multiple scales
2266.870	2273.200	from cellular to kind of evolution
2269.390	2274.850	creature up to tribe city civilization
2273.200	2278.180	and in space in fact you're actually
2274.850	2281.150	kind of developing evolving civilization
2278.180	2282.980	from a single microbe every level the
2281.150	2284.360	game also has an Associated editor where
2282.980	2285.920	the players in fact actively creating
2284.360	2287.210	the content I want to show you kind of
2285.920	2290.480	an example of what that looks like
2287.210	2292.040	because a lot of the underlying elements
2290.480	2294.740	of the game involve the players having
2292.040	2296.450	very powerful editors so this is our
2294.740	2299.000	creature editor in the game and so it's
2296.450	2300.650	a very simple kind of skeletal system
2299.000	2302.270	here where I can drag out things I can
2300.650	2305.420	inflate them with the mouse we want to
2302.270	2306.590	be extremely open-ended to the player we
2305.420	2308.870	have a palette of parts over here that
2306.590	2310.220	we can kind of grab and use and stick
2308.870	2311.990	onto the thing
2310.220	2313.810	very play like you know everything I can
2311.990	2318.070	basically kind of sculpt like clay
2313.810	2318.070	different types of parts use your feet
2318.319	2322.009	as I start putting parts on the future
2320.719	2323.869	starts coming to life I could kind of
2322.009	2325.900	morph and scale these things you know
2323.869	2332.510	let's give them out here
2325.900	2334.940	[Music]
2332.510	2337.510	all these parts have handles let me
2334.940	2337.510	scale this up
2339.670	2342.420	maybe give it some more
2343.420	2346.489	[Music]
2348.690	2351.829	a set of arms
2352.380	2357.160	that's gross now the interesting thing
2355.660	2359.319	about this is that no matter what the
2357.160	2361.049	player designs the computer has to
2359.319	2365.680	figure out how this thing would behave
2361.049	2367.660	so here in a few clicks in about two
2365.680	2370.029	minutes I've created you know a fully 3d
2367.660	2372.940	character next up is actually coloring
2370.029	2375.220	the thing now this is all generative as
2372.940	2377.079	well so basically we have simple rules
2375.220	2379.630	for how the computer should paint this
2377.079	2381.490	thing so we basically select a color and
2379.630	2382.869	then each one of these spoons here
2381.490	2384.700	represents a different algorithm that
2382.869	2387.839	puts a different pattern on the creature
2384.700	2390.130	so you can go for stripes spots scales
2387.839	2392.380	we can overlay and mix different
2390.130	2394.930	patterns so I can pick another color
2392.380	2396.250	here and then put different stripes the
2394.930	2399.089	computers actually analyzing things like
2396.250	2401.230	where the torso is where the legs are
2399.089	2402.309	very much the way a texture artist would
2401.230	2403.869	and in fact you know typically a
2402.309	2405.039	computer texture artist would spend a
2403.869	2407.470	couple days texture and creature like
2405.039	2409.750	this so here in about three minutes you
2407.470	2411.400	know in about maybe 30 miles clicks I've
2409.750	2412.720	created a creature that's roughly
2411.400	2415.890	equivalent to what a Pixar artist might
2412.720	2415.890	create over several weeks
2420.050	2423.350	and now the computer actually analyzes
2421.820	2425.030	what we've made and brings it to life so
2423.350	2427.100	in fact this is the way this thing would
2425.030	2428.540	move and so no two preachers will
2427.100	2432.260	actually kind of move or behave the same
2428.540	2436.340	way in this game so can I just interrupt
2432.260	2438.440	them in its only you see the ways you
2436.340	2441.140	see there were hits heaving up and down
2438.440	2444.080	there yeah that's is breathing right so
2441.140	2446.150	so is the computer told in every case
2444.080	2449.300	just to say what would this thing do
2446.150	2450.590	when it breathes I always do that sort
2449.300	2452.780	of thing it always makes a decision
2450.590	2454.190	about yeah everything it does the
2452.780	2455.990	computers making some decision and
2454.190	2457.460	sometimes it's abstract out elements of
2455.990	2460.490	the creature you know maybe it's mass
2457.460	2462.110	and weight and size the way it moves is
2460.490	2464.480	very based upon how long the legs are
2462.110	2465.950	how many feet yeah you know you can move
2464.480	2468.410	in radically different ways if I put
2465.950	2471.680	like seven legs or tentacles or whatever
2468.410	2473.540	so there's a range of possibilities that
2471.680	2475.340	the computer has to kind of understand
2473.540	2478.550	based upon the structure for the future
2475.340	2480.950	39 so everything that creature is doing
2478.550	2484.010	in the game all the behaviors have to be
2480.950	2485.900	animatable by the computer algorithm as
2484.010	2487.430	well as emotions so we have to be able
2485.900	2489.920	to show you know the features happy or
2487.430	2492.430	sad I wouldn't depending we designed
2489.920	2494.840	that could be you know quite tricky so
2492.430	2496.730	we take this creature and we actually
2494.840	2498.410	bring it into the world and you're
2496.730	2500.570	actually playing in a full world of
2498.410	2502.430	other creatures that were designed by
2500.570	2504.100	other players so as you design a future
2502.430	2506.650	in this game
2504.100	2507.940	you're actually interacting with other
2506.650	2510.070	creatures that other players have
2507.940	2512.080	designed automatically and how is the
2510.070	2514.000	how is the sentient on the creatures
2512.080	2516.550	that you interact with chosen it's
2514.000	2518.920	chosen by the computer based upon what
2516.550	2521.350	you've done in the game so it's based
2518.920	2524.320	upon how well you are as a player your
2521.350	2528.160	skill levels based upon a number of
2524.320	2530.830	other things so do you as a player can
2528.160	2533.320	you reject a sense so if the computer
2530.830	2535.870	puts you in a landscape which you don't
2533.320	2537.310	like very much can you say I'd rather
2535.870	2539.320	have another set of creatures please
2537.310	2540.970	well in some sense later stages of the
2539.320	2542.740	game you can do that you can give the
2540.970	2544.570	computer kind of directives on the type
2542.740	2546.130	of content you want so it's trying to
2544.570	2547.900	select content it's not only appropriate
2546.130	2550.060	before your kind of skill level but also
2547.900	2551.530	your aesthetic style so you make some
2550.060	2552.910	purchasing decisions in the game make
2551.530	2554.230	the selection decisions yeah the
2552.910	2556.630	computer tries to abstract it very much
2554.230	2560.920	the way Amazon recommendations does and
2556.630	2563.490	so in the game I basically need to find
2560.920	2563.490	food to eat
2565.619	2572.859	we're gonna go over here I hear some
2567.759	2574.059	cutie picking exhibit here now again my
2572.859	2576.190	creature is doing everything out
2574.059	2580.660	rigorously based upon how I've designed
2576.190	2582.970	it now these guys aren't very strong but
2580.660	2584.410	they're very social so that's sticking
2582.970	2585.670	up with each other so even though
2584.410	2587.380	they're weak I'm not gonna get very far
2585.670	2599.710	with them so I'm gonna go or something a
2587.380	2602.609	little bit easier here we go some people
2599.710	2602.609	herbivores over here
2602.820	2613.590	if I'm quick I could go get a bite of
2604.590	2614.760	their egg here happy about that their
2613.590	2617.180	ever worse but they hold up in their
2614.760	2619.200	mouths but I did get some DNA points now
2617.180	2620.970	not only am I just trying to survive in
2619.200	2622.080	this but there's a whole social game if
2620.970	2623.910	I can find members of my own species
2622.080	2625.830	like this I can basically socialize with
2623.910	2627.630	them and it's my brain level advances I
2625.830	2630.440	get the higher Nova speeds and higher
2627.630	2630.440	levels of communication
2630.650	2635.430	now this one's ready to mate so I can
2634.140	2638.990	actually mate at this point of the game
2635.430	2638.990	and this is out rhythmic mating
2641.740	2646.569	that we banned in several states yeah
2647.319	2651.229	so I actually play every generation on
2649.579	2653.179	my creature through evolution and that
2651.229	2655.429	gives me access to the editor again and
2653.179	2658.189	can I ask you something sure if your
2655.429	2662.749	creature doesn't survive the illusionary
2658.189	2664.819	struggle yes what happened basically you
2662.749	2668.559	like the restart thing that I showed you
2664.819	2668.559	earlier oh I have to defend my eggs here
2675.789	2680.089	basically if you died in this stage of
2678.979	2682.309	the game you would fall back one
2680.089	2684.140	generation to your last egg and get an
2682.309	2686.689	opportunity to redesign your future Isis
2684.140	2688.759	the next generation so this is the
2686.689	2689.869	creature I had now I might decide I want
2688.759	2691.159	to make this picture faster so what I'm
2689.869	2692.599	actually doing is playing every version
2691.159	2694.429	of my creature every generation of its
2692.599	2696.649	revolution so I'm gonna take off these
2694.429	2698.239	feet put on something a little bit
2696.649	2699.559	faster and this is how I actually
2698.239	2702.019	increase the performance of my creature
2699.559	2704.239	over time and do you do you pay extra as
2702.019	2706.999	it were for these yeah you know for
2704.239	2708.769	high-performance features yes in fact um
2706.999	2710.539	there's a currency the yearning kind of
2708.769	2712.039	DNA currency that you're earning in the
2710.539	2713.389	game that you didn't spin in the editor
2712.039	2715.219	so at every level the game so if you
2713.389	2717.589	design something like a sloth that would
2715.219	2718.849	actually be very cheap with it yes in
2717.589	2720.349	fact you could actually start as a slug
2718.849	2722.389	we have this little slug thing we called
2720.349	2725.380	Oggy okay you know I had basically a
2722.389	2729.249	mouth you know and that was about yeah I
2725.380	2729.249	knew someone like that yeah
2730.330	2739.040	it was a very tricky you know Larry the
2732.590	2740.960	guy survived with now I'm gonna make my
2739.040	2743.030	guy a little bit scarier you can also
2740.960	2745.340	make changes to your guy that are more
2743.030	2747.910	aesthetic now so my happy-go-lucky guy
2745.340	2756.080	is gonna be a little more serious here
2747.910	2759.500	and then let's go back in a p.m. can you
2756.080	2761.650	can you also modify the behavioral
2759.500	2764.330	characteristics or does the computer
2761.650	2766.250	give use those from from what you've
2764.330	2767.690	done physically in the editor you're
2766.250	2769.340	designing the physical characteristics
2767.690	2771.260	of your creature once you get into the
2769.340	2773.180	game you're actually designing its
2771.260	2775.250	behavioral characteristics by the way
2773.180	2777.290	you play it so if I play my creature is
2775.250	2780.080	very social then it will start to
2777.290	2781.310	reflect that in the game by how often I
2780.080	2782.300	socialize with my other creatures they
2781.310	2783.740	might become more of a herd mentality
2782.300	2786.500	and work together like the small
2783.740	2788.060	creatures we were at before so here i've
2786.500	2789.200	read these on my creature but as i come
2788.060	2790.610	back into the game we actually don't
2789.200	2793.580	start with the full size we start with a
2790.610	2795.830	baby so this is the baby fide version of
2793.580	2797.090	the adult that i've just designed we run
2795.830	2798.350	actually a little simple neonatal
2797.090	2800.990	algorithm and so you see the head is
2798.350	2802.550	exaggerated and a few other things and
2800.990	2804.530	so the social game i can actually click
2802.550	2806.840	on these guys and have them socialize
2804.530	2808.370	play together and as i do that i kind of
2806.840	2809.930	earned this is like playing the
2808.370	2811.700	friendship game in the sims and these
2809.930	2815.060	guys will then start to follow me and
2811.700	2816.750	mimic what i do so here we're playing
2815.060	2818.940	together
2816.750	2820.920	now at this point the guy will become my
2818.940	2823.230	friend I get the little friend thing and
2820.920	2824.910	now I have roughly follow me around and
2823.230	2827.849	I can get a little pack of my little
2824.910	2828.960	baby friends here and we can go over
2827.849	2831.020	here and we can kind of like annoy our
2828.960	2833.670	neighbors the herbivores again
2831.020	2836.749	[Laughter]
2833.670	2836.749	[Music]
2837.940	2843.410	those guys are a lot bigger than we are
2840.049	2846.979	but we're pretty fast yeah they're
2843.410	2850.549	getting annoyed now they'll definitely
2846.979	2853.430	get us but I'm gonna skip ahead here a
2850.549	2854.900	little bit now we actually made a
2853.430	2856.160	skipper long low intermediate levels of
2854.900	2857.690	the game eventually you develop
2856.160	2859.190	intelligence and you start controlling
2857.690	2860.779	an entire tribe of these guys and
2859.190	2863.710	control their technical advancements you
2860.779	2865.940	can get them things like fire Spears etc
2863.710	2867.410	you can design things like their Hut I
2865.940	2869.119	can every level the game you're doing
2867.410	2870.769	things the player is creating and using
2869.119	2872.420	generative techniques underlying that
2870.769	2873.650	that's what makes it possible for in 20
2872.420	2875.599	clicks the player to create something is
2873.650	2878.239	that we've made so much of it all over
2875.599	2879.559	Hollywood to make the computer side so
2878.239	2881.059	that gives the player a huge amount of
2879.559	2883.719	creative leverage the computer becomes a
2881.059	2885.650	creative an amplifier to the player
2883.719	2887.630	eventually you start building the entire
2885.650	2890.509	cities and you can design the buildings
2887.630	2891.950	in the cities eventually vehicles as the
2890.509	2894.349	civilization start interacting with each
2891.950	2896.059	other and I'm gonna skip way ahead here
2894.349	2898.009	this is gonna be the same planet that
2896.059	2899.869	we're on the same creatures but this is
2898.009	2902.839	basically at the end of the civilization
2899.869	2904.309	phase and so at the end what the end of
2902.839	2906.170	the civilization phase so these
2904.309	2908.390	creatures have you know advanced all the
2906.170	2909.950	way through you know tribal city and Civ
2908.390	2912.170	and now there's a high level of
2909.950	2913.999	technological advancement you can get a
2912.170	2916.519	sense of some of their cities all these
2913.999	2918.739	buildings were designed by the player in
2916.519	2920.450	the editor the cities that you're
2918.739	2922.039	competing with we're designed by other
2920.450	2923.509	players in the editor and downloaded
2922.039	2925.670	your computer automatically to basically
2923.509	2930.289	fill out your world as well as the
2925.670	2932.539	vehicles etc here so here's our home
2930.289	2934.640	city now at this point in the game we
2932.539	2936.499	can click on it and we can go to the
2934.640	2938.089	next stage of the game where we're
2936.499	2940.339	actually entering this space for inside
2938.089	2942.910	of the game now the UFOs that we have
2940.339	2945.160	here are like anything else is ahead
2942.910	2946.900	Claire can create them and this is our
2945.160	2949.119	civilization that you were playing as
2946.900	2950.980	evolution earlier now basically entering
2949.119	2953.609	the space age and so there having been
2950.980	2953.609	launched
2961.700	2966.680	so we have a little celebration now if
2965.270	2969.079	you play the game I'm actually kind of
2966.680	2970.700	controlling this UFO and flying around
2969.079	2972.109	the planet this is the planet that we
2970.700	2973.460	evolved on we've been playing the entire
2972.109	2974.299	game on this plane up to this point you
2973.460	2977.000	can get a sense of some of the other
2974.299	2980.569	styles of buildings this is some of the
2977.000	2984.020	other cities that I basically built the
2980.569	2985.069	game now at this point of the game one
2984.020	2986.119	things I might want to start doing is
2985.069	2988.069	going out and terraforming and
2986.119	2990.230	colonizing other worlds one things I
2988.069	2992.059	might want to do is collect biological
2990.230	2994.280	samples on my world I can do this with a
2992.059	2995.599	subduction beam that allows me to kind
2994.280	3001.599	of go in using real scientific
2995.599	3003.040	principles here so as we suck these
3001.599	3005.109	things up into our UFO they go into the
3003.040	3006.099	cargo hold and we can use them we
3005.109	3007.030	actually one thing we found that was
3006.099	3008.849	kind of interesting is that we could use
3007.030	3013.390	the abduction beam to throw things
3008.849	3016.140	really far we may have to get some of
3013.390	3016.140	these guys into orbit
3017.300	3021.300	but now also for the first time we can
3019.380	3022.470	like pull all the way out and see the
3021.300	3024.450	entire planet that we've been playing on
3022.470	3026.130	so and these planets are generated as
3024.450	3027.450	well so using very simple rules we were
3026.130	3029.520	able to generate you know entire
3027.450	3030.840	planetary systems so as we pull back
3029.520	3032.940	here we can see that even if had got
3030.840	3036.960	kind of a very slight and ling around
3032.940	3038.970	our planet as we keep pulling back we go
3036.960	3041.400	out to the interstellar view I mean the
3038.970	3043.770	a planetary view so here's our home
3041.400	3046.860	solar system that we evolved in these
3043.770	3049.200	are other planets this one I can tell
3046.860	3052.100	has some type of life on it so we're
3049.200	3052.100	gonna fly over this planet
3053.579	3059.849	and pull down the surface again these
3057.359	3061.010	planets are all generated auguries mcli
3059.849	3064.690	and we're
3061.010	3064.690	that's right in these plans
3065.830	3070.920	this one's a bit more kind of
3067.390	3070.920	fantastical imagining
3071.440	3075.819	so we're going to take our future of our
3073.839	3078.280	own planet and start introducing them to
3075.819	3080.410	this now this planet already has a whole
3078.280	3082.890	atmosphere and in fact somewhat of us
3080.410	3082.890	simply
3084.350	3087.200	some of the other planets are more
3085.850	3088.640	barren in fact you have to kind of
3087.200	3091.550	bootstrap from the very early stages
3088.640	3093.820	onto this level so let's find a spot
3091.550	3093.820	over here
3107.910	3112.140	we get a little stunned when they get
3109.930	3112.140	dropped
3112.250	3115.389	[Applause]
3117.640	3121.270	okay they didn't get along with the
3120.140	3123.320	neighbors too well
3121.270	3125.810	one things we can do is we can scan
3123.320	3127.130	these guys with our scanning tool and so
3125.810	3129.080	any other creatures that we see on this
3127.130	3132.560	planet we can scan they're entered into
3129.080	3137.140	a database that we call spore PDF and
3132.560	3140.210	now that database we can access and
3137.140	3141.500	spore pedia basically is a record of all
3140.210	3142.730	the content that we've come across in
3141.500	3144.620	the game so in some sense this is kind
3142.730	3145.910	of a collection game there's a card
3144.620	3148.940	that's built for every piece of content
3145.910	3150.890	so this is our home star the planets
3148.940	3152.780	around it I click on that and I get a
3150.890	3153.800	plants this is our home planet this is
3152.780	3155.510	the place that we're currently visiting
3153.800	3157.520	right here if I click on that these are
3155.510	3160.610	the species that I've scanned on this
3157.520	3162.050	planet each one has ratings etc and so
3160.610	3163.160	we can use that to kind of keep track of
3162.050	3169.010	the stuff that we've come across in the
3163.160	3170.930	game is is it um is progress in the game
3169.010	3172.910	always hierarchical in the sense that
3170.930	3175.070	you you start at one level and you
3172.910	3176.780	proceed up the echelon well could
3175.070	3179.900	somebody for instance come up with a
3176.780	3180.620	virus that actually had a planetary
3179.900	3183.170	impact
3180.620	3186.200	so somebody specializes on at the lowest
3183.170	3189.560	level and doesn't decide to evolve into
3186.200	3191.540	a larger creature oh you can stay at
3189.560	3193.190	different levels but the idea that we
3191.540	3194.420	would be simulating viruses at the same
3193.190	3196.700	time that we're simulating the entire
3194.420	3198.410	planet is basically kind of unmanageable
3196.700	3200.720	you know from the computational point of
3198.410	3202.340	view so in every level of the game we're
3200.720	3204.440	abstracting out the levels below and
3202.340	3206.330	above and we're actually running very
3204.440	3208.130	low res simulations when you're not
