speaker	org	title	session	date	format	box
Marc Levoy	Stanford Computer Science	The Digital Michelangelo Project	CS547 Winograd 3	1997-10-10	VHS	Box 4
Margaret Minsky	Interval Research	Putting 'Feel' into 'Look and Feel': Interaction with the Sense of Touch	CS547 Winograd 1	1993-10-1	VHS	Box 1
Margaret Morris	Intel	Embedded Health Assessment	CS547 Winograd 4	2005-1-28	VHS	Box 10
Marie O'Mahony	Dircon	The Soft Machine - Design in the Cyborg Age	CS547 Winograd 5	1999-10-22	VHS	Box 6
Marissa Mayer	Google	The How and Why of Google UI	CS547 Winograd 2	2003-1-17	VHS	Box 9
Mark Ackerman	UC Irvine	Social Activity in CSCW Systems	CS547 Winograd 2	1996-1-19	VHS	Box 3
Mark Newman	Xerox PARC	End-User Composition in Ubiquitous Computing Environments	CS547 Winograd 6	2004-11-5	VHS	Box 9
Mark Pesce	USC	The Playful World: Interactive Toys and the Future of Imagination	CS547 Winograd 2	2001-1-19	VHS	Box 11
Marney Morris	Animatrix	Engagement	CS547 Winograd 1	2000-3-31	VHS	Box 8
Marney Morris	Animatrix	Practical Interactive Design	CS547 Winograd 3	1992-10-14	VHS	Box 1
Marti Hearst	UC Berkeley SIMS	Using Words to Search a Thousand Images: Hierarchical Faceted Metadata in Search Interfaces	CS547 Winograd 4	2003-1-31	VHS	Box 9
Martin Roscheisen	Stanford Computer Science (Digital Libraries Project)	A Network-Centric Design for Relationship-based Rights Management	CS547 Winograd 2	1997-4-11	VHS	Box 4
Merrie Morris	Stanford Computer Science	Tabletop interfaces	CS547 Winograd 1	2005-1-7	VHS	Box 10
Michael Deering	Sun Microsystems	High Resolution Virtual Reality	CS547 Winograd 4	1994-10-21	VHS	Box 2
Michael Graves, Rao Machiraju	Apple Computer	Heat & Dust: Designing Solutions on the Other Side of the World	CS547 Winograd 6	1996-5-17	VHS	Box 3
Michael Mills, Roy Pea	Stanford Center for Innovations in Learning	DIVER: (Digital Interactive Video Exploration and Reflection)	CS547 Winograd 8	2003-5-23	VHS	Box 9
Michael Naimark	Interval Research	Presence at the Interface (or How Do You Know I'm Not a Movie and When Does it Matter?)	CS547 Winograd 9	1992-11-25	VHS	Box 1
Michael Shiloh	Makingthings.com	Teleo: Rapid Prototyping Toolkit	CS547 Winograd 7	2004-11-12	VHS	Box 10
Michael Slater	Adobe Systems	A Next-Generation Consumer Photo Application: Challenges in Creating Simple Yet Powerful	CS547 Winograd 8	2003-11-14	VHS	Box 10
Michelle Wang Baldonado	Stanford Computer Science (Digital Libraries Project)	Sensemaker: An Information-Exploration Interface	CS547 Winograd 4	1997-04-25	VHS	Box 4
Mihai Nadin	University of Wuppertal (Currently Stanford CSLI)	Computational Design	CS547 Winograd 3	1999-4-16	VHS	Box 6
Milton Chen	Stanford Computer Science	Design of a Video Auditorium and Leveraging the Asymmetric Sensitivity of Eye Contact for Videoconferencing	CS547 Winograd 7	2002-05-17	VHS	Box 7
Miriam Reiner	Technion, Israel	Access to Tacit Embodied Knowledge: Force Sensation and Conceptualization	CS547 Winograd 10	1998-12-4	VHS	Box 5
Mitch Resnick	MIT Media Lab	Lifelong Kindergarten	CS547 Winograd 6	2001-02-16	VHS	Box 11
Mor Naaman	Stanford Computer Science	Adventures in Time and Space: Leveraging Geo-Referenced Digital Photographs	CS547 Winograd 4	2004-4-23	VHS	Box 10
Myron Flickner	IBM Almaden Research Center	An Overview of IBM Almaden Research Center's BlueEyes Project	CS547 Winograd 9	2000-5-26	VHS	Box 8
Nathan Shedroff	Vivid	Information Interaction Design	CS547 Winograd 3	1993-10-22	VHS	Box 1
Neil Scott	Stanford Archimedes Project	Technology and Human Well-Being	CS547 Winograd 6	2002-05-10	VHS	Box 7
Neil Scott	Stanford CAIID	Total Access for Disabled Computer Users	CS547 Winograd 5	1993-2-3	VHS	Box 1
Nick Arnett	Verity	Building Virtual Libraries on the Internet	CS547 Winograd 6	1994-11-4	VHS	Box 2
Nicolas Ducheneaut, Mark Howard, Ian Smith, Victoria Bellotti	Xerox PARC	Seven Slides and a Fight: How Extreme Programming Improved Our User-Centered Design Process, But Not Our Social Skills	CS547 Winograd 2	2002-10-4	VHS	Box 7
Norbert Streitz	GMD-IPSI, T. U. Darmstadt, Germany	Roomware: Towards the Next Generation of Human-Computer Interaction based on an Integrated Design of Real and Virtual Worlds	CS547 Winograd 8	1999-5-21	VHS	Box 6
Nygaard et al	Unknown Organization	Hypermedia in Beta	CS547 Winograd 4	1995-10-20	VHS	Box 3
Orkut Buyukkokten	Stanford Computer Science	Web Browsing on Handheld Devices	CS547 Winograd 8	2001-05-25	VHS	Box 7
Pamela Hinds	Stanford Department of Industrial Engineering and Engineering Management	Perspective Taking Amongst Distributed Workers	CS547 Winograd 9	1999-11-19	VHS	Box 6
Parvati Dev	Stanford Summit	Interactive Medical Education	CS547 Winograd 2	2002-1-18	VHS	Box 7
Patrick Baudisch	Xerox PARC	Focus Plus Context Screens: Displays for Users Working with Large Visual Documents	CS547 Winograd 9	2002-03-08	VHS	Box 7
Patrick Whitney, Kei Sato	Institute of Design, Illinois Institute of Technology	As If Users Mattered: Research in Human Centered Design	CS547 Winograd 3	1999-1-22	VHS	Box 6
Pattie Maes	MIT Media Lab	Learning Interface Agents	CS547 Winograd 2	1994-1-14	VHS	Box 2
Paul Braund	World Bank Institute	Pilot Projects from Around the World, The Edge of the Network Society	CS547 Winograd 10	2005-5-27	VHS	Box 10
Paul Dourish	Apple Research Labs	Accounting for System Action	CS547 Winograd 5	1996-11-1	VHS	Box 3
Paul Pangaro	Sun Microsystems	The Cybernetics of HCI, A Pragmatic Approach	CS547 Winograd 6	2002-2-15	VHS	Box 7
Paul Rankin	Philips Research, Redhill, UK	StarCursors in ContentSpace: Abstractions of People and Places	CS547 Winograd 8	1998-11-13	VHS	Box 4
Paul Saffo	Institute for the Future	Designing for the Consumer	CS547 Winograd 1	1994-4-1	VHS	Box 2
Paul Saffo	Institute for the Future	Sensors: The Next Wave in Information Technology	CS547 Winograd 6	1998-10-30	VHS	Box 5
Paul Whitmore	E*Trade	Beginning with the End in Mind: How to Design for People's Real Goals	CS547 Winograd 7	2002-11-08	VHS	Box 7
Paul Whitmore	E*Trade	The Psychology of Ecommerce: Choice Overload and other Paradoxes	CS547 Winograd 3	2001-1-26	VHS	Box 11
Per Persson, Younghee Jung	Nokia	Mobile Social Computing - From Research to Products	CS547 Winograd 2	2005-4-8	VHS	Box 10
Peter G. Neumann	SRI International	Risks and Their Prevention: The Role of the Human Interface	CS547 Winograd 5	1997-2-7	VHS	Box 4
Peter Mullen	Visio	Experience from the Design of Visio	CS547 Winograd 7	1998-5-15	VHS	Box 5
Peter Samis, Steve Mayer	San Francisco Museum of Modern Art	Interface Design for Art	CS547 Winograd 9	1997-3-7	VHS	Box 4
Phil Agre	UC San Diego	The Architecture of Identity	CS547 Winograd 5	1998-5-1	VHS	Box 5
Phil Cohen	SRI International	Natural Language in Multimodal Interfaces	n/a	1993-1-18	DVD	Box 12
Polle Zellweger, Jock Mackinlay, Bay-Wei Chang	Xerox PARC	Fluid Documents: Annotation in Context	CS547 Winograd 2	1999-4-9	VHS	Box 6
Polle Zellweger	MacZell Consulting	Making the World Wide Web Fit People: Traveling in Comfort on the Information Superhighway	CS547 Winograd 4	2003-10-17	VHS	Box 10
Raj Reddy	Carnegie Mellon University	The Million Book Digital Library Project	CS547 Winograd 3	2003-10-10	VHS	Box 10
Ramana Rao	Xerox PARC	The Information Grid: A Framework for Information Retrieval and Retrieval-Centered Application	CS547 Winograd	1993-1-6	VHS	Box 1
Ramesh Raskar	Mitsubishi (MERL)	Graphics, Vision and HCI Research at MERL	CS547 Winograd 6	2003-10-31	VHS	Box 10
Ramon Felciano	Stanford Section on Medical Informatics	Graphical Style Sheets: Reusable Representations of Domain-Specific Information Graphics	CS547 Winograd 2	1998-4-10	VHS	Box 5
Randal Walser	Spacetime Arts, Inc	The Art and Technology of Spacemaking	CS547 Winograd 8	1994-2-25	VHS	Box 2
Randy Farmer, Doug Crockford	Electric Communities	The Socialization of Cyberspace: From Habitat to the Full Service Network	CS547 Winograd 1	1996-1-12	VHS	Box 3
Randy Pausch	Carnegie-Mellon University	Disney's Aladdin: First Steps Towards Storytelling in Virtual Reality	CS547 Winograd 1	1997-9-26	VHS	Box 4
Raul Rojas	Freie Universitaet Berlin	Electronic Chalk: A Tool for Live and Remote Teaching	CS547 Winograd 10	2002-12-6	VHS	Box 7
Raymone Guindon	Hewlett-Packard	Design Vision	CS547 Winograd 8	1992-11-18	VHS	Box 1
Rebecca Grinter	Xerox PARC	Hanging with Computers: The Role of IM in Teenage Communication	n/a	2002-3-8	DVD	Box 12
Rich Gold	The Red Shift	Desire in Context	CS547 Winograd 3	2002-10-11	VHS	Box 7
Richard Marks	Sony	Video Interfaces for Entertainment	CS547 Winograd 1	2002-9-27	VHS	Box 7
Richard Mogford	NASA Ames Research Center	Human Factors in Advanced Air Transportation Technologies	CS547 Winograd 7	2000-2-18	VHS	Box 8
Rob Barrett	IBM Almaden Research Center	Personal Information, Privacy and the Web	CS547 Winograd 10	1999-3-12	VHS	Box 6
Rob Barrett	IBM Almaden Research Center	System Administrators are Users Too	CS547 Winograd 9	2003-5-30	VHS	Box 9
Rob Barrett	IBM Almaden Research Center	WBI: Intermediaries for Manipulating Web Content	CS547 Winograd 2	1998-1-16	VHS	Box 5
Rob Haitani	3Com (Palm Computing)	The Design of the Palm Pilot	CS547 Winograd 3	1998-04-17	VHS	Box 5
Rob Tow	Interval Research	Visual Psychophysics in Humans and Non-humans, with Some Notes on Applications to Computer Scanning, Printing and Video	CS547 Winograd	1993-1-27	VHS	Box 1
Robert Carr	GO Corporation	Mobile Pen-based Computing	CS547 Winograd 4	1992-10-21	VHS	Box 1
Robert Jacobson	SRI Consulting	Information Design and Why It Matters	CS547 Winograd 7	1997-2-21	VHS	Box 4
Robert Wilensky, Thomas Phelps	UC Berkeley	Multivalent Documents: Documents as Interfaces to Information in Network Digital Repositories	CS547 Winograd 3	1996-1-26	VHS	Box 3
Rogers Hall	UC Berkeley	Designing for Mathematical Understanding	CS547 Winograd 8	1994-11-18	VHS	Box 2
Rosalind Picard	MIT Media Lab	Toward Affective Interfaces	CS547 Winograd 7	1998-11-6	VHS	Box 5
Sally Rosenthal	Interval Research	New Voices, New Visions	CS547 Winograd 8	1995-11-17	VHS	Box 3
Sara Kiesler	Carnegie Mellon University	The Internet at Home: Expectations, Realities, and the Future	CS547 Winograd 5	1999-2-5	VHS	Box 6
Scott Kim	Unknown Organization	Paper, Plastic, or Playstation? Adapting a Game to Wide Range of Technologies	CS547 Winograd 2	2004-10-8	VHS	Box 10
Scott Klemmer	Berkeley Computer Science	Where Do Web Sites Come From?	CS547 Winograd 9	2002-5-31	VHS	Box 7
Scott Snibbe	Interval Research	Dynamic Abstraction	CS547 Winograd 9	1998-11-20	VHS	Box 4
Scott Snibbe	Interval Research	Haptic Techniques for Media Control	CS547 Winograd 3	2001-10-12	VHS	Box 11
Scott Snibbe	Unknown Organization	Body, Space and Cinema	CS547 Winograd 3	2004-10-15	VHS	Box 9
Scott Weiss	GAIN	UNIX Multimedia: Today's Reality	CS547 Winograd 9	1993-5-26	VHS	Box 1
Scott Weiss	Usable Products Company	Handheld Usability	CS547 Winograd 5	2002-10-25	VHS	Box 7
Sha Xin Wei	Stanford	MMDD: An Open Meta-Testbed for Multimedia Distributed Documents	CS547 Winograd 6	1994-2-11	VHS	Box 2
Sharon Oviatt	Oregon Graduate Institute	Ten Myths of Multimedia Interaction	CS547 Winograd 8	1999-2-26	VHS	Box 6
Sheelagh Carpendale	University of Calgary	Elastic Presentation	CS547 Winograd 10	2001-12-7	VHS	Box 11
Shumin Zhai	IBM Almaden Research Center	Human Performance in 6 Degree-of-Freedom Input Control	CS547 Winograd 6	1996-11-8	VHS	Box 3
Sidney Fels	University of British Columbia	Building Novel Interfaces	CS547 Winograd	2000-12-8	VHS	Box 8
Simon Buckingham Shum	Knowledge Media Institute, The Open University, UK	Semantic Scholarly Publishing and Discourse: Tools for Modeling Contested Knowledge Domains	CS547 Winograd 3	2004-4-16	VHS	Box 2
Srinija Srinivasan	Yahoo! Inc.	Untangling the Web	CS547 Winograd 3	1996-10-18	VHS	Box 3
Steve B. Cousins	Stanford Computer Science PCD Project	A User Interface for Interacting with Heterogeneous Distributed Applications	CS547 Winograd 6	1997-2-14	VHS	Box 4
Steve Cousins, Rebecca Lasher, Andreas Paepcke	Stanford	A Digital Library Interface	CS547 Winograd 4	1996-2-2	VHS	Box 3
Steve DiPaola	communities.com	Internet-Based Interactive Character Design: From Agents to Avatars	CS547 Winograd 10	1999-12-03	VHS	Box 6
Steve DiPaola	Stanford University Digital Art Center	Emerging Interactive Expression Systems: Blurring Author and Audience	CS547 Winograd 4	2001-2-2	VHS	Box 11
Steve Shafer	Microsoft Research	Easyliving: An Architecture for Building Intelligent Environments	CS547 Winograd 2	2000-10-6	VHS	Box 8
T. V. Raman	Adobe Systems	Emacspeak	CS547 Winograd 9	1996-3-8	VHS	Box 3
T.V. Raman	DEC Cambridge Research Labs	Audio System for Technical Research	CS547 Winograd 5	1994-10-28	VHS	Box 2
Takeshi Sunaga	Tama Art University, Tokyo	Sketching Information	CS547 Winograd 3	1995-10-13	VHS	Box 3
Ted Selker	IBM Almaden Research Center	Proactive and Reactive Agents in User Interface	CS547 Winograd 6	1994-5-6	VHS	Box 2
Ted Selker	IBM Almaden Research Center	Test as You Build: An Approach To Creating New Interfaces	CS547 Winograd 4	1997-1-31	VHS	Box 4
Ted Selker	IBM Almaden Research Center	Trackpoint II: Making a better mouse	CS547 Winograd 7	1993-5-12	VHS	Box 1
Ted Selker	MIT Media Lab	Context-Aware Computing; Can Implicit Communication with Computers Be More Useful Than Explicit Communication?	CS547 Winograd 6	2000-11-3	VHS	Box 8
Ted Selker	MIT Media Lab	Context-Aware Computing: A World That Knows What To Do For You	CS547 Winograd 9	2005-5-20	VHS	Box 10
Terry Winograd	Stanford Computer Science	A Human-Centered Architecture for an Interactive Workspace	CS547 Winograd 2	1998-10-2	VHS	Box 5
Terry Winograd	Stanford Computer Science	DigLab: Interacting with the Digital Library	CS547 Winograd 6	1995-11-3	VHS	Box 3
Terry Winograd	Stanford Computer Science	Interfacing the Information History	CS547 Winograd 9	1994-3-4	VHS	Box 2
Terry Winograd	Stanford Computer Science	Where do HCI Theory and Practice Meet?	CS547 Winograd 5	2003-2-7	VHS	Box 9
Terry Winograd	Stanford Computer Science, Interval Research	From Virtual Reality to Real Virtualities: Designing the Worlds in Which We Live	CS547 Winograd 5	1993-10-29	VHS	Box 1
Terry Winograd	Stanford Computer Science, Interval Research	Introduction to the Seminar on Human-Computer Interaction	CS547 Winograd 1	1992-9-30	VHS	Box 1
Tessa Lau	IBM Research	Adaptive User Interfaces: Design Challenges for HCI	CS547 Winograd 2	2005-1-14	VHS	Box 10
Thad Starner	Georgia Tech	Wearable computers	CS547 Winograd 1	2005-04-01	VHS	Box 10
Thomas Erickson	Apple Computer	The Design and Long-Term Use of a Personal Electronic Notebook	CS547 Winograd 5	1996-5-10	VHS	Box 3
Tim Oren	Kaleida Labs	Virtual Markets and Communities... Crock	CS547 Winograd 9	1993-03-03	VHS	Box 1
Tom Moran	IBM Almaden Research Center	Unified Activity as a Paradigm for Supporting Collaboration	CS547 Winograd 5	2005-4-22	VHS	Box 10
Tom Moran	Xerox PARC	Whiteboard Multiplier & Liveboard Meeting Support	CS547 Winograd 11	1992-12-9	VHS	Box 1
Tom Zimmerman	IBM Almaden Research Center	Motivation for Invention	CS547 Winograd 7	2003-11-7	VHS	Box 10
Tony Fernandes	Netscape	International User Interface Design	CS547 Winograd 3	1996-4-19	VHS	Box 3
Tony Temple	IBM	Advanced Interface Design for Ease of Use	CS547 Winograd 9	2000-1-28	VHS	Box 8
Turner Whitted	Microsoft Research	Experiments with Un-tethered Interaction	CS547 Winograd 9	2001-3-9	VHS	Box 11
Vaughan Pratt	Stanford Computer Science	HWI: Human-Wearable Interaction	CS547 Winograd 3	2000-4-14	VHS	Box 8
Wally Smith	Edith Cowan University, Western Australia	Technology Demonstrations: What Are They For?	CS547 Winograd 10	2003-3-14	VHS	Box 9
Walt Scacchi	UC Irvine	Understanding the Requirements for Developing and Designing Free/Open Source Software	CS547 Winograd 5	2004-5-7	VHS	Box 10
Warren Sack	MIT Media Lab	Conversation Map: An Interface for Very Large Scale Conversations	CS547 Winograd 3	2000-1-21	VHS	Box 8
Wilfred Hansen	Carnegie Mellon University	Andrew User Interface System as a Multiparadigm Environment for Visual Languages	CS547 Winograd 2	1993-10-8	VHS	Box 1
Will Wright	Maxis	Games and Simulation	CS547 Winograd 5	2003-5-2	VHS	Box 9
Will Wright	Maxis	Interfacing to Microworlds	CS547 Winograd 4	1996-4-26	VHS	Box 3
Yvonne Rogers	University of Sussex	Design for Interactivity: From Diagrams to Virtual Reality	CS547 Winograd 8	1996-3-1	VHS	Box 3
